value,size
-2.0265579223632812e-06,6
-0.004019021987915039,5
0.00014266371726989746,8
-2.110004425048828e-05,5
-0.003211379051208496,8
1.5974044799804688e-05,3
-0.0006128847599029541,5
-0.0003750324249267578,6
-5.960464477539063e-08,6
-2.4437904357910156e-06,6
0.005903303623199463,2
4.291534423828125e-06,5
-0.0012165307998657227,4
-5.3048133850097656e-05,5
0.0041918158531188965,8
2.1457672119140625e-06,6
0.0002937912940979004,4
-7.808208465576172e-05,3
-0.0004157721996307373,9
-5.364418029785156e-07,5
-2.0384788513183594e-05,4
-5.307793617248535e-05,7
0.00015223026275634766,6
-0.0004729032516479492,7
0.00021651387214660645,7
-1.9669532775878906e-06,6
-5.894899368286133e-05,3
-8.52346420288086e-06,4
0.000255584716796875,8
7.152557373046875e-07,6
6.121397018432617e-05,4
2.4378299713134766e-05,6
8.821487426757812e-06,5
0.0005003213882446289,3
-3.635883331298828e-06,5
0.033243536949157715,3
-0.0037063956260681152,4
5.960464477539062e-07,6
0.011652052402496338,2
-1.245737075805664e-05,4
5.272030830383301e-05,6
2.872943878173828e-05,3
-8.64267349243164e-06,4
-1.0907649993896484e-05,4
8.910894393920898e-05,3
-1.7285346984863281e-06,3
0.00019431114196777344,4
-0.00016123056411743164,5
0.0002168118953704834,7
0.00010442733764648438,4
-6.973743438720703e-06,4
-1.0967254638671875e-05,4
7.748603820800781e-07,4
0.00032901763916015625,4
0.0003324747085571289,5
-2.5570392608642578e-05,5
