,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII,mse_L_Shapley,runtime_L_Shapley
70,2.725299596786499,7518.0,29.0,0.05500875893461558,2.4735679626464844,0.016904486850486865,2.6975858211517334,0.049876202928919366,2.3858065605163574,0.13179757041086862,1.7030134201049805,0.04421689455429888,1.2463257312774658,2.509981650950974,0.368955135345459
71,2.634809970855713,7693.0,30.0,0.1439589521783467,2.484739303588867,0.07318082103214922,2.9701409339904785,0.20630096251325683,2.4758729934692383,0.2509341877985836,1.652050256729126,0.12998077348485337,1.1477842330932617,13.958646531329592,0.4746119976043701
72,1.533179521560669,4766.0,22.0,0.12810578218897697,1.2884392738342285,0.03906479121816298,1.2522587776184082,0.06297826708407996,1.3765661716461182,0.06924187713571466,1.02156400680542,0.08168387975121404,0.7009072303771973,11.720801865417824,0.23683857917785645
73,3.31662654876709,9564.0,35.0,0.07867055470759358,3.2807631492614746,0.06256776700961045,4.327202796936035,0.11145786452153571,3.655956506729126,0.20089483578235498,2.2823750972747803,0.08813143955616956,1.8123393058776855,10.698691408771461,0.802626371383667
82,2.647456407546997,7725.0,28.0,0.09519041043546864,2.525601625442505,0.030439010854395845,2.896016836166382,0.11580270548694466,2.483581781387329,0.14744337534821036,1.7877216339111328,0.035626635877569694,1.2398805618286133,14.359364110476983,0.42797207832336426
89,3.065505266189575,8100.0,39.0,0.1797765438531432,3.2024426460266113,0.04479139288103502,4.427117109298706,0.1645891015390048,3.3646903038024902,0.08581581945353012,2.0925545692443848,0.09959296652378333,1.434269666671753,5.376467449560313,0.8152925968170166
92,3.2310030460357666,8064.0,23.0,0.023080387737406602,2.3448374271392822,0.009440728056944325,2.364755868911743,0.03512427784787116,2.487966537475586,0.02249889907374882,1.7100152969360352,0.031779812018701524,1.194474458694458,4.453046740122091,0.24291181564331055
95,2.211737871170044,6833.0,32.0,0.04465972689995548,2.2068569660186768,0.021790595138868694,2.617994785308838,0.04618086041629316,2.238173007965088,0.06130424640282635,1.5571107864379883,0.06236204466181859,1.077030897140503,5.262436478156165,0.5985152721405029
98,1.5335097312927246,4765.0,26.0,0.13963850435029493,1.3191781044006348,0.03418487830118091,1.622410774230957,0.16977127904077832,1.4970180988311768,0.12174978518160827,1.017484426498413,0.1135422989311724,0.8706469535827637,6.781505003763867,0.2993431091308594
99,2.2222578525543213,6157.0,26.0,0.09647558626966095,1.8794894218444824,0.024376618745601115,1.9775729179382324,0.05810662313447362,1.7772197723388672,0.08991373589024422,1.353419303894043,0.05318013425078565,1.0917415618896484,10.395824230188483,0.3432896137237549
107,2.3337502479553223,6238.0,26.0,0.04692333843383922,1.9411332607269287,0.01794300407994401,2.1708950996398926,0.04208951520901347,1.8831961154937744,0.19055048367361407,1.36582612991333,0.05950360317470879,0.9940323829650879,2.1697037997308577,0.3221123218536377
108,1.6370551586151123,4210.0,23.0,0.06538039843437089,1.100069284439087,0.011749277534257562,1.295029878616333,0.08245502671332383,1.1399288177490234,0.09025516861315797,0.9599213600158691,0.031507394811496024,0.6241884231567383,2.6917381002564813,0.3024783134460449
111,1.0598773956298828,3200.0,27.0,0.05338172022163574,1.1044402122497559,0.023435065633088777,1.1959640979766846,0.05047190157647099,1.034184217453003,0.07062478042090993,0.8313558101654053,0.033828195745024346,0.5236644744873047,3.300695772267344,0.2726891040802002
112,2.5286552906036377,6962.0,28.0,0.04026620909181197,2.240617275238037,0.004467345326586727,2.291675090789795,0.031027890310298865,2.27594256401062,0.6011616776181965,1.4268090724945068,0.024613069793420567,1.399808645248413,1.058464663385118,0.32425761222839355
114,2.781327962875366,6432.0,28.0,0.09004236438852956,1.986581563949585,0.030281650171339426,2.227222442626953,0.06712736962841669,2.133450746536255,0.19215191553027286,1.5278394222259521,0.020910387133308037,1.1551284790039062,2.706039762985506,0.3263835906982422
116,0.8240523338317871,2496.0,23.0,0.03046184178757341,0.7502748966217041,0.043333400781940895,0.7253365516662598,0.060541939361544526,0.6224944591522217,0.13495171863375266,0.6063449382781982,0.014902211802509785,0.3627810478210449,3.0364094912407875,0.1957988739013672
118,2.0751545429229736,6197.0,35.0,0.0702232114802687,2.1433703899383545,0.030497064908527265,2.8758459091186523,0.0748725095876333,2.297046661376953,0.46851629082855273,1.5537843704223633,0.027455158159901148,1.1012213230133057,2.4884281101175514,0.5877881050109863
119,2.371053695678711,6415.0,25.0,0.07465385519837085,1.9375674724578857,0.011455043408155969,2.1481285095214844,0.029581501220492364,2.0504794120788574,0.17846262931230997,1.3608782291412354,0.02814440883724623,1.0540266036987305,3.246921912684747,0.2930335998535156
120,1.1524040699005127,3311.0,20.0,0.020331253887510427,0.7778160572052002,0.009757771383185362,0.8204784393310547,0.027881474444157974,0.9752197265625,0.02419700519431847,0.7559425830841064,0.0856386366508313,0.5172479152679443,1.399429201934144,0.17207789421081543
123,1.1663432121276855,3503.0,24.0,0.050152875306874824,1.048293113708496,0.028655871068124065,1.0247445106506348,0.028872495965690928,1.0036585330963135,0.06193604134319454,0.7147235870361328,0.07487558718902876,0.6162958145141602,5.600515207989704,0.24875092506408691
125,3.2425804138183594,8845.0,32.0,0.1648063880973912,3.0831503868103027,0.047530792167187016,3.5235612392425537,0.14443943866308515,3.28633713722229,0.12917011302281714,2.1003501415252686,0.18806611073696688,1.4455623626708984,7.901526473663335,0.6679437160491943
134,0.8029406070709229,2624.0,23.0,0.11894641716702026,0.7916278839111328,0.06770890515447536,0.7422163486480713,0.24207881167639467,0.6999056339263916,0.11588069493081353,0.6005029678344727,0.12534730699504995,0.37711262702941895,8.6117519820843,0.17177557945251465
135,2.4468672275543213,7236.0,27.0,0.05497173247083587,2.2855210304260254,0.05659485665661527,2.5527496337890625,0.06486005020518235,2.0964903831481934,0.06547403723134611,1.6559422016143799,0.12137393518052604,1.1689326763153076,10.285303110126181,0.4364931583404541
137,1.6084387302398682,4623.0,22.0,0.007467146024734251,1.2913782596588135,0.008487865786272114,1.2056291103363037,0.005908908908803373,1.3649733066558838,0.15882472956067425,0.8588240146636963,0.030475422806717768,0.8805172443389893,0.9709411129460316,0.22614645957946777
146,2.618504524230957,6927.0,29.0,0.05229704711372338,2.1941778659820557,0.012909308165823245,2.800326108932495,0.07607963396631973,2.361016035079956,0.07665989346069806,1.6184139251708984,0.04902020299057146,1.1404895782470703,2.319366474726961,0.3911778926849365
151,2.359182834625244,6558.0,31.0,0.18392704242899216,1.969470739364624,0.060701309021222664,2.743227005004883,0.14506861658828654,2.0504279136657715,0.11250058289268042,1.5143916606903076,0.07205193878639729,1.2286405563354492,6.277720798532153,0.32366514205932617
152,2.044002056121826,5958.0,26.0,0.13114487215690526,1.7735145092010498,0.043072475416553416,2.0407772064208984,0.12081957789465253,1.8858072757720947,0.04397706720716915,1.1985647678375244,0.0634251250903774,1.0535972118377686,6.083754794684341,0.3430297374725342
154,1.187241554260254,3294.0,25.0,0.06355099546629431,1.0003421306610107,0.041632588643603016,1.076402187347412,0.034056730704539497,1.0228917598724365,0.07981559755245111,0.8256657123565674,0.1633953431240854,0.5290486812591553,4.788602382989759,0.2149198055267334
159,2.1604506969451904,5742.0,27.0,0.0750540650148716,1.816455364227295,0.015104476204950415,1.858874797821045,0.0869708028918986,1.7634291648864746,0.025006615403641658,1.2275304794311523,0.03931150842687754,0.8422982692718506,3.6421097212884064,0.5071237087249756
160,1.7843313217163086,5534.0,30.0,0.12927889335937098,1.7406888008117676,0.03663393315478592,2.1305649280548096,0.14041570259867467,1.8958873748779297,0.08882750072080843,1.2813341617584229,0.06040925469552342,0.8962204456329346,5.677493576758524,0.44173169136047363
162,3.056145668029785,7343.0,26.0,0.030377031557516542,2.1411805152893066,0.00976770288603793,2.3587961196899414,0.019560618685908644,2.267188787460327,0.021971675202313138,1.6258065700531006,0.011803603733008204,1.255134105682373,1.6958283213326066,0.24349188804626465
165,1.8223326206207275,4847.0,24.0,0.10373157191872885,1.348520278930664,0.022200738086705526,1.3239848613739014,0.06896743666469782,1.4438683986663818,0.03750683541726699,1.1283791065216064,0.03567760889917241,0.6738729476928711,3.838180084611661,0.2526214122772217
168,1.733818769454956,5006.0,24.0,0.05295349996906694,1.4736361503601074,0.03508390560833993,1.3696105480194092,0.11122765347388323,1.5304675102233887,0.06596338760224509,1.0998728275299072,0.07868655324477951,0.7274925708770752,4.827069115619803,0.2209165096282959
169,1.0755581855773926,3238.0,21.0,0.014471414069977677,0.7790877819061279,0.024477325926575862,0.9647765159606934,0.007436510976536934,0.836552619934082,0.10680495823723145,0.6137223243713379,0.05812131890282599,0.5522212982177734,3.6227157706642648,0.16799592971801758
171,2.8980026245117188,6913.0,20.0,0.001164958488119755,1.7737369537353516,0.009682065286381818,1.709583044052124,0.0016190338720477196,1.8554413318634033,0.0599134730819754,1.3261125087738037,0.007812859679972532,0.9723598957061768,2.5848505491241944,0.8329067230224609
178,0.792790412902832,2718.0,23.0,0.04456886326419008,0.8355603218078613,0.04766757787803672,0.8258745670318604,0.05287870851427817,0.7411582469940186,0.14724885640385563,0.7099556922912598,0.0860634793448805,0.4397239685058594,2.251727130307655,0.1888418197631836
179,2.249891757965088,6543.0,25.0,0.0998149519848692,1.7995028495788574,0.013605464921785718,1.977114200592041,0.060985071957173696,1.9796760082244873,0.057200071960037846,1.4175100326538086,0.046199957502187416,0.9943175315856934,3.65055461604176,0.31764650344848633
180,0.7341232299804688,2112.0,21.0,0.08204677024010171,0.6762316226959229,0.08954274415534738,0.571570873260498,0.12294107146706092,0.5543549060821533,0.06842263652439143,0.517158031463623,0.5360787432903575,0.30614352226257324,4.134671739732557,0.13853740692138672
181,2.078287124633789,6005.0,36.0,0.09347906524232866,2.121161460876465,0.03209708430113347,2.8090476989746094,0.1320807469991634,2.114068031311035,0.3909120883985854,1.4760370254516602,0.07841448167094263,1.0686583518981934,2.385687424573463,0.5628736019134521
190,2.348054885864258,6912.0,28.0,0.016865373611171738,2.185612201690674,0.03278468000758912,2.4607765674591064,0.020107088106762153,2.162888526916504,0.03930243647324177,1.618211269378662,0.006702534620079592,1.2385272979736328,3.8358673190888473,0.3430171012878418
193,2.4536187648773193,7294.0,28.0,0.13085781199645008,2.1439342498779297,0.03733788649197635,2.6958324909210205,0.4061413153044797,2.2345504760742188,0.0901766712408874,1.6833405494689941,0.12896182297036557,1.2288146018981934,15.681195241362657,0.42497944831848145
195,0.9618947505950928,2613.0,20.0,0.09661516763767161,0.6071407794952393,0.03588224747349358,0.6679806709289551,0.21513575887207356,0.7396554946899414,0.2187528295281309,0.49538111686706543,0.17013510610414753,0.37342071533203125,2.895823989879887,0.5096189975738525
198,1.56058669090271,4527.0,20.0,0.02809577557671709,1.1069936752319336,0.015770454062357497,1.2336487770080566,0.03654671578657652,1.2112696170806885,0.1495261897392101,0.9427783489227295,0.034299816148397194,0.6544711589813232,2.3967222637137118,0.2628822326660156
199,2.98793363571167,7808.0,23.0,0.012724152014031606,2.2123074531555176,0.0036737071784367138,2.2742090225219727,0.01676110058835512,2.2685627937316895,0.02729343871108,1.7058990001678467,0.006905835834966646,1.2126448154449463,1.6925853210623618,0.4225304126739502
204,3.0454161167144775,8749.0,29.0,0.08691491850437023,2.758582830429077,0.05275685190099733,3.261141061782837,0.10748480791036276,2.834151268005371,0.25522889185804665,1.9078431129455566,0.05438909295535561,1.501286268234253,12.385952440176533,0.4435768127441406
207,2.457392692565918,6080.0,20.0,0.030539126164074615,1.6167864799499512,0.03661803234031519,1.5739953517913818,0.045480652985811595,1.6058037281036377,0.053256473698855056,1.1995413303375244,0.02050928799111655,0.8339030742645264,9.358947304046493,0.1878068447113037
208,2.305497169494629,6479.0,28.0,0.023664235827819548,2.0086820125579834,0.008317618598984954,2.295703172683716,0.04242997375050391,2.0336971282958984,0.4642288711185563,1.5209479331970215,0.016230195394328073,1.2072370052337646,1.471095919500649,0.3283562660217285
